review_id,review_date_time,reviewer_id,region,team_level,policy_area,content_type,content_complexity_score,ai_triage_used,review_time_seconds,decision_accuracy_rate,reviewer_monthly_volume,decision_error_rate,reviews_per_minute
REV000000,2025-08-26 16:25:10,R00000,North America (NA),L3 - Policy Expert,Hate Speech,Livestream,6,True,361,0.9552,1626,0.0447999999999999,0.1662049861495844
REV000001,2025-08-26 19:11:24,R00001,Latin America (LATAM),L2 - Complex,Intellectual Property,Image,3,True,252,0.9341,1104,0.0658999999999999,0.238095238095238
REV000002,2025-08-28 06:32:10,R00002,Asia-Pacific (APAC),L2 - Complex,Violent Content,Video,4,True,229,0.8407,2058,0.1593,0.2620087336244541
REV000003,2025-08-20 14:12:23,R00003,Europe (EU),L2 - Complex,Violent Content,Text,6,True,234,0.8721,4187,0.1279,0.2564102564102564
REV000004,2025-08-02 06:37:48,R00004,Europe (EU),L1 - General,Spam & Scams,Text,6,True,188,0.75,901,0.25,0.3191489361702128
REV000005,2025-08-09 11:23:00,R00005,North America (NA),L1 - General,Spam & Scams,Video,6,True,223,0.8174,2066,0.1825999999999999,0.2690582959641255
REV000006,2025-08-26 20:41:29,R00006,Latin America (LATAM),L2 - Complex,Hate Speech,Text,3,False,201,0.8788,944,0.1211999999999999,0.2985074626865671
REV000007,2025-08-19 04:06:46,R00007,Europe (EU),L1 - General,Hate Speech,Text,6,True,187,0.7997,1204,0.2003,0.320855614973262
REV000008,2025-08-24 04:27:54,R00008,Latin America (LATAM),L2 - Complex,Hate Speech,Video,5,True,274,0.9217,6901,0.0783,0.218978102189781
REV000009,2025-08-14 03:34:34,R00009,Europe (EU),L1 - General,Violent Content,Video,7,True,219,0.9412,1763,0.0587999999999999,0.273972602739726
REV000010,2025-08-27 07:12:35,R00010,Asia-Pacific (APAC),L1 - General,Hate Speech,Livestream,7,True,179,0.818,2964,0.182,0.3351955307262569
REV000011,2025-08-15 08:25:11,R00011,North America (NA),L2 - Complex,Spam & Scams,Text,10,True,320,0.8531,1233,0.1469,0.1875
REV000012,2025-08-04 05:16:07,R00012,Europe (EU),L1 - General,Hate Speech,Image,8,False,232,0.9461,1365,0.0538999999999999,0.2586206896551724
REV000013,2025-08-25 17:57:22,R00013,Asia-Pacific (APAC),L1 - General,Intellectual Property,Image,5,True,211,0.8731,435,0.1269,0.2843601895734597
REV000014,2025-08-04 19:29:25,R00014,Asia-Pacific (APAC),L1 - General,Spam & Scams,Image,5,True,111,0.8759,1544,0.1240999999999999,0.5405405405405406
REV000015,2025-08-10 02:40:01,R00015,Asia-Pacific (APAC),L2 - Complex,Intellectual Property,Text,3,True,137,0.8732,4161,0.1268,0.437956204379562
REV000016,2025-08-16 20:40:55,R00016,North America (NA),L2 - Complex,Hate Speech,Video,3,False,252,0.9297,1903,0.0703,0.238095238095238
REV000017,2025-08-21 10:48:11,R00017,Latin America (LATAM),L3 - Policy Expert,Spam & Scams,Video,6,True,313,0.99,1215,0.01,0.1916932907348242
REV000018,2025-08-04 18:51:09,R00018,Latin America (LATAM),L1 - General,Intellectual Property,Video,6,True,204,0.8899,3645,0.1100999999999999,0.2941176470588235
REV000019,2025-08-22 03:06:13,R00019,North America (NA),L2 - Complex,Hate Speech,Livestream,10,True,342,0.8586,708,0.1413999999999999,0.175438596491228
REV000020,2025-08-10 03:55:43,R00020,Latin America (LATAM),L1 - General,Intellectual Property,Text,4,True,148,0.8424,4006,0.1575999999999999,0.4054054054054054
REV000021,2025-08-02 04:42:35,R00021,North America (NA),L1 - General,Hate Speech,Image,3,True,156,0.8134,775,0.1866,0.3846153846153846
REV000022,2025-08-15 14:45:52,R00022,Asia-Pacific (APAC),L1 - General,Hate Speech,Image,6,True,209,0.7703,857,0.2297,0.2870813397129186
REV000023,2025-08-27 09:52:11,R00023,North America (NA),L1 - General,Violent Content,Video,4,True,145,0.8634,1905,0.1366,0.4137931034482758
REV000024,2025-08-17 03:47:05,R00024,Latin America (LATAM),L1 - General,Hate Speech,Image,6,True,193,0.8205,3226,0.1795,0.310880829015544
REV000025,2025-08-18 00:28:05,R00025,North America (NA),L1 - General,Intellectual Property,Text,4,True,126,0.8388,1138,0.1612,0.4761904761904761
REV000026,2025-08-12 10:50:36,R00026,Europe (EU),L1 - General,Hate Speech,Text,4,True,216,0.8986,4069,0.1014,0.2777777777777778
REV000027,2025-08-16 03:09:31,R00027,Europe (EU),L2 - Complex,Violent Content,Video,6,False,216,0.942,15137,0.058,0.2777777777777778
REV000028,2025-08-30 21:36:24,R00028,North America (NA),L1 - General,Violent Content,Text,4,True,157,0.8549,2249,0.1451,0.3821656050955414
REV000029,2025-08-11 14:44:00,R00029,Europe (EU),L3 - Policy Expert,Spam & Scams,Text,4,True,322,0.8881,1005,0.1119,0.186335403726708
REV000030,2025-08-18 22:12:42,R00030,North America (NA),L2 - Complex,Hate Speech,Video,6,False,257,0.9842,4533,0.0158,0.2334630350194552
REV000031,2025-08-27 02:04:42,R00031,Asia-Pacific (APAC),L1 - General,Spam & Scams,Text,5,True,191,0.75,3004,0.25,0.3141361256544502
REV000032,2025-08-23 05:11:26,R00032,Latin America (LATAM),L1 - General,Hate Speech,Text,4,True,168,0.9461,4998,0.0538999999999999,0.3571428571428571
REV000033,2025-08-08 13:53:31,R00033,Asia-Pacific (APAC),L2 - Complex,Spam & Scams,Video,4,False,221,0.905,1369,0.0949999999999999,0.2714932126696832
REV000034,2025-08-07 02:23:55,R00034,Asia-Pacific (APAC),L2 - Complex,Intellectual Property,Text,7,True,222,0.9372,9051,0.0627999999999999,0.2702702702702703
REV000035,2025-08-08 12:02:23,R00035,Europe (EU),L2 - Complex,Hate Speech,Video,6,True,315,0.8961,1941,0.1038999999999999,0.1904761904761904
REV000036,2025-08-18 08:55:42,R00036,North America (NA),L2 - Complex,Hate Speech,Image,4,False,172,0.9639,1346,0.0361,0.3488372093023256
REV000037,2025-08-01 18:15:25,R00037,Europe (EU),L1 - General,Violent Content,Image,7,True,218,0.8237,1521,0.1763,0.2752293577981651
REV000038,2025-08-01 23:30:54,R00038,North America (NA),L1 - General,Hate Speech,Text,6,True,165,0.8477,757,0.1523,0.3636363636363636
REV000039,2025-08-12 00:47:57,R00039,Latin America (LATAM),L2 - Complex,Hate Speech,Image,8,True,348,0.9178,2162,0.0822,0.1724137931034483
REV000040,2025-08-23 14:52:34,R00040,North America (NA),L2 - Complex,Hate Speech,Image,7,True,224,0.927,1932,0.0729999999999999,0.2678571428571428
REV000041,2025-08-28 23:09:42,R00041,Latin America (LATAM),L2 - Complex,Violent Content,Livestream,7,True,237,0.9289,1147,0.0711,0.2531645569620253
REV000042,2025-08-28 10:31:30,R00042,North America (NA),L2 - Complex,Hate Speech,Livestream,4,True,243,0.8622,1299,0.1378,0.2469135802469135
REV000043,2025-08-29 02:33:08,R00043,Asia-Pacific (APAC),L1 - General,Violent Content,Video,3,False,154,0.8124,8898,0.1876,0.3896103896103896
