review_id,review_date_time,reviewer_id,region,team_level,policy_area,content_type,content_complexity_score,ai_triage_used,review_time_seconds,decision_accuracy_rate,reviewer_monthly_volume,decision_error_rate,reviews_per_minute
REV000000,2025-08-26 16:25:10,R00000,North America (NA),L3 - Policy Expert,Hate Speech,Livestream,6,True,247,0.919,868,0.08099999999999996,0.242914979757085
REV000001,2025-08-26 19:11:24,R00001,Latin America (LATAM),L2 - Complex,Intellectual Property,Image,3,True,140,0.9145,2991,0.08550000000000002,0.42857142857142855
REV000002,2025-08-28 06:32:10,R00002,Asia-Pacific (APAC),L2 - Complex,Violent Content,Video,4,True,177,0.8192,2211,0.18079999999999996,0.3389830508474576
REV000003,2025-08-20 14:12:23,R00003,Europe (EU),L2 - Complex,Violent Content,Text,6,True,231,0.845,1260,0.15500000000000003,0.2597402597402597
REV000004,2025-08-02 06:37:48,R00004,Europe (EU),L1 - General,Spam & Scams,Text,6,True,147,0.75,1821,0.25,0.40816326530612246
REV000005,2025-08-09 11:23:00,R00005,North America (NA),L1 - General,Spam & Scams,Video,6,True,172,0.7846,1500,0.21540000000000004,0.3488372093023256
REV000006,2025-08-26 20:41:29,R00006,Latin America (LATAM),L2 - Complex,Hate Speech,Text,3,False,168,0.8636,1631,0.13639999999999997,0.35714285714285715
REV000007,2025-08-19 04:06:46,R00007,Europe (EU),L1 - General,Hate Speech,Text,6,True,155,0.7742,3421,0.2258,0.3870967741935484
REV000008,2025-08-24 04:27:54,R00008,Latin America (LATAM),L2 - Complex,Hate Speech,Video,5,True,235,0.8911,1080,0.1089,0.2553191489361702
REV000009,2025-08-14 03:34:34,R00009,Europe (EU),L1 - General,Violent Content,Video,7,True,179,0.9074,2242,0.09260000000000002,0.33519553072625696
REV000010,2025-08-27 07:12:35,R00010,Asia-Pacific (APAC),L1 - General,Hate Speech,Livestream,7,True,194,0.7937,4207,0.20630000000000004,0.30927835051546393
REV000011,2025-08-15 08:25:11,R00011,North America (NA),L2 - Complex,Spam & Scams,Text,10,True,245,0.8041,721,0.19589999999999996,0.24489795918367346
REV000012,2025-08-04 05:16:07,R00012,Europe (EU),L1 - General,Hate Speech,Image,8,False,229,0.908,5588,0.09199999999999997,0.26200873362445415
REV000013,2025-08-25 17:57:22,R00013,Asia-Pacific (APAC),L1 - General,Intellectual Property,Image,5,True,113,0.8454,2419,0.15459999999999996,0.5309734513274337
REV000014,2025-08-04 19:29:25,R00014,Asia-Pacific (APAC),L1 - General,Spam & Scams,Image,5,True,151,0.8648,1015,0.1352,0.3973509933774834
REV000015,2025-08-10 02:40:01,R00015,Asia-Pacific (APAC),L2 - Complex,Intellectual Property,Text,3,True,188,0.8633,294,0.13670000000000004,0.3191489361702128
